0,1,2,3,4,-1
1,5.1,3.5,1.4,0.2,0.0
2,4.9,3.0,1.4,0.2,0.0
3,4.7,3.2,1.3,0.2,0.0
4,4.6,3.1,1.5,0.2,0.0
5,5.0,3.6,1.4,0.2,0.0
6,5.4,3.9,1.7,0.4,0.0
7,4.6,3.4,1.4,0.3,0.0
8,5.0,3.4,1.5,0.2,0.0
9,4.4,2.9,1.4,0.2,0.0
10,4.9,3.1,1.5,0.1,0.0
11,5.4,3.7,1.5,0.2,0.0
12,4.8,3.4,1.6,0.2,0.0
13,4.8,3.0,1.4,0.1,0.0
14,4.3,3.0,1.1,0.1,0.0
15,5.8,4.0,1.2,0.2,0.0
16,5.7,4.4,1.5,0.4,0.0
17,5.4,3.9,1.3,0.4,0.0
18,5.1,3.5,1.4,0.3,0.0
19,5.7,3.8,1.7,0.3,0.0
20,5.1,3.8,1.5,0.3,0.0
21,5.4,3.4,1.7,0.2,0.0
22,5.1,3.7,1.5,0.4,0.0
23,4.6,3.6,1.0,0.2,0.0
24,5.1,3.3,1.7,0.5,0.0
25,4.8,3.4,1.9,0.2,0.0
26,5.0,3.0,1.6,0.2,0.0
27,5.0,3.4,1.6,0.4,0.0
28,5.2,3.5,1.5,0.2,0.0
29,5.2,3.4,1.4,0.2,0.0
30,4.7,3.2,1.6,0.2,0.0
31,4.8,3.1,1.6,0.2,0.0
32,5.4,3.4,1.5,0.4,0.0
33,5.2,4.1,1.5,0.1,0.0
34,5.5,4.2,1.4,0.2,0.0
35,4.9,3.1,1.5,0.1,0.0
36,5.0,3.2,1.2,0.2,0.0
37,5.5,3.5,1.3,0.2,0.0
38,4.9,3.1,1.5,0.1,0.0
39,4.4,3.0,1.3,0.2,0.0
40,5.1,3.4,1.5,0.2,0.0
41,5.0,3.5,1.3,0.3,0.0
42,4.5,2.3,1.3,0.3,0.0
43,4.4,3.2,1.3,0.2,0.0
44,5.0,3.5,1.6,0.6,0.0
45,5.1,3.8,1.9,0.4,0.0
46,4.8,3.0,1.4,0.3,0.0
47,5.1,3.8,1.6,0.2,0.0
48,4.6,3.2,1.4,0.2,0.0
49,5.3,3.7,1.5,0.2,0.0
50,5.0,3.3,1.4,0.2,0.0
51,7.0,3.2,4.7,1.4,1.0
52,6.4,3.2,4.5,1.5,1.0
53,6.9,3.1,4.9,1.5,1.0
54,5.5,2.3,4.0,1.3,1.0
55,6.5,2.8,4.6,1.5,1.0
56,5.7,2.8,4.5,1.3,1.0
57,6.3,3.3,4.7,1.6,1.0
58,4.9,2.4,3.3,1.0,1.0
59,6.6,2.9,4.6,1.3,1.0
60,5.2,2.7,3.9,1.4,1.0
61,5.0,2.0,3.5,1.0,1.0
62,5.9,3.0,4.2,1.5,1.0
63,6.0,2.2,4.0,1.0,1.0
64,6.1,2.9,4.7,1.4,1.0
65,5.6,2.9,3.6,1.3,1.0
